,jobDist,n,m,lowerBound,cost,time,timeToBestCost
378,largeJobs,1000,400,82920.8525,91969,39.400967836380005,24.243223905563354
379,largeJobs,1000,400,83238.0725,92582,39.402013301849365,16.490932941436768
380,extremes,1000,400,52188.25,56727,39.400736570358276,0.001998424530029297
381,extremes,1000,400,50445.29,54736,39.40001678466797,0.001998424530029297
382,extremes,1000,400,50211.435,53490,39.40001630783081,0.0029976367950439453
383,extremes,1000,400,50156.275,52690,39.400957107543945,0.0022840499877929688
384,extremes,1000,400,51254.85,53162,39.400959491729736,0.0
385,extremes,1000,400,49256.1,52328,39.40493893623352,0.0019989013671875
386,extremes,1000,400,49847.4075,52389,39.40092945098877,0.0019986629486083984
387,extremes,1000,400,49391.285,52966,39.40090537071228,0.0019981861114501953
388,extremes,1000,400,49025.705,52106,39.40010213851929,0.0019981861114501953
389,extremes,1000,400,49145.175,52037,39.40104961395264,0.0
390,centred,1000,400,50669.5075,50735,39.400999307632446,21.373137712478638
391,centred,1000,400,50035.0875,50093,39.40054106712341,16.571495056152344
392,centred,1000,400,49070.9975,49125,39.40190553665161,25.46891164779663
393,centred,1000,400,51394.98,51455,39.40004372596741,24.906628131866455
394,centred,1000,400,50731.5425,50796,39.400965452194214,17.188052654266357
395,centred,1000,400,50968.52,51022,39.4010488986969,25.30064105987549
396,centred,1000,400,50588.025,50645,39.40138626098633,16.212351322174072
397,centred,1000,400,48879.78,48940,39.40159368515015,14.183349847793579
398,centred,1000,400,50481.4225,50535,39.40152168273926,17.479029655456543
399,centred,1000,400,49803.0825,49861,39.4014847278595,19.89496421813965
400,discreteUniform,1000,600,39946.0,39946,0.005004167556762695,0.005004167556762695
401,discreteUniform,1000,600,39996.0,39996,0.00299835205078125,0.0019989013671875
402,discreteUniform,1000,600,39997.0,39997,0.0029976367950439453,0.001998424530029297
403,discreteUniform,1000,600,39932.0,39932,0.0029973983764648438,0.0029973983764648438
404,discreteUniform,1000,600,39903.0,39903,0.0,0.0
405,discreteUniform,1000,600,39952.0,39952,0.002997159957885742,0.002997159957885742
406,discreteUniform,1000,600,39877.0,39877,0.0029976367950439453,0.0029976367950439453
407,discreteUniform,1000,600,39945.0,39945,0.0019986629486083984,0.0019986629486083984
408,discreteUniform,1000,600,39979.0,39979,0.0,0.0
409,discreteUniform,1000,600,40000.0,40000,0.011654853820800781,0.011654853820800781
410,largeJobs,1000,600,55272.32166666666,65522,39.40098237991333,0.0019998550415039062
411,largeJobs,1000,600,55464.70333333333,65825,39.40007257461548,0.0029976367950439453
412,largeJobs,1000,600,55939.55,66300,39.40072751045227,0.0013387203216552734
413,largeJobs,1000,600,55555.89666666667,66177,39.41004681587219,0.010089635848999023
414,largeJobs,1000,600,55303.28333333333,65909,39.400201082229614,0.001998424530029297
415,largeJobs,1000,600,55437.97833333333,65660,39.40087127685547,0.001998424530029297
416,largeJobs,1000,600,55471.73333333333,66077,39.40134859085083,0.001998424530029297
417,largeJobs,1000,600,55647.62666666666,66361,39.400765895843506,0.0
418,largeJobs,1000,600,55427.74166666667,65531,39.40155076980591,0.0019981861114501953
419,largeJobs,1000,600,55666.635,65928,39.40084934234619,0.001998424530029297
